"Definition Name","Quantity"
"146х20х2000","3"
"146х20х2000#1","7"
"95х10х2000","37"
"95х10х2000#3","1"
"95х10х2000#4","1"
"96х20х2000","2"
"96х20х2000#1","7"
"96х20х2000#2","7"
"96х20х2000#3","10"
"96х20х2000#4","1"
"96х20х2000#5","1"
"Marc","1"
"Model","1"
"frustum_faces","3"
"frustum_rays","3"
"Гориз50х50х100","3"
"Гориз50х50х100#1","5"
"Гориз50х50х100#2","2"
"Гориз50х50х100#3","2"
"Гориз50х50х100#4","7"
"Гориз50х50х100#5","1"
"Горизнт50х50х200","3"
"Горизнт50х50х200#1","1"
"Горизнт50х50х200#10","2"
"Горизнт50х50х200#12","1"
"Горизнт50х50х200#2","1"
"Горизнт50х50х200#3","1"
"Горизнт50х50х200#4","1"
"Горизнт50х50х200#8","2"
"Горизонт50х50","5"
"Горизонт50х50#1","1"
"Горизонт50х50#2","3"
"Горизонт50х50х950","7"
"Горизонт50х50х950#1","1"
"Горизонт50х50х950#2","1"
"ДверьОбшивкак","2"
"Камера 1","1"
"Камера 2","1"
"Камера 3","1"
"Кирпич","3"
"Компонент#1","2"
"Компонент#2","2"
"Компонент#3","2"
"Компонент#4","1"
"Компонент#5","2"
"Компонент#6","1"
"Компонент#7","1"
"Компонент#8","3"
"Компонент#9","1"
"Кровля","2"
"Различие","14"
"Рейка 50Х50","11"
"Рейка 50Х50#1","3"
"Рейка 50Х50#2","6"
"Рейка 50Х50#3","5"
"Рейка 50Х50#4","4"
"Рейка 50х20","14"
"Рейка 50х20#2","3"
"Рейка входа","4"
"Рейка входа#1","4"
"вход 30х40х600","6"
"рейка 20х40х2000","10"
"рейка 20х40х2000#1","4"
